"case_number","date","year","month","time","date_time","crime_code","crime","block","street","type","beat","command","weapon","motivation","number_of_suspects","suspect","victim_count","victim_other","injury","suspect_race_0","suspect_race_1","suspect_race_2","suspect_sex_0","suspect_sex_1","suspect_sex_2","victim_race_0","victim_race_1","victim_race_2","victim_sex_0","victim_sex_1","victim_sex_2"
"18032153","2018-10-11","2018","10","13:05:00","2018-10-11 13:05:00","243A","Assault","5600.0","36th","St","811","Mid-City","Hands, Fists, Feet","Race","1","Known","3","","None","H","","","M","","","H","H","H","M","M","F"
"18032111","2018-10-11","2018","10","00:00:00","2018-10-11 00:00:00","594(B)(1):F","Vandalism","4800.0","Cole","St","114","Northern","Other-sharp Object","Sexual Orientation","Unk","Unknown","1","","None","Unk","","","Unk","","","W","","","F","",""
"18032467","2018-10-14","2018","10","20:00:00","2018-10-14 20:00:00","422.6B","Vandalism","1600.0","Polk ","Av","624","Western","Spray Paint","Sexual Orientation","Unk","Unknown","1","Church","None","Unk","","","Unk","","","","","","","",""
"18034424","2018-10-31","2018","10","23:20:00","2018-10-31 23:20:00","245A1","Assault","4300.0","36th","St","811","Mid-City","Baton","Race","3","Unknown","2","","Treated","H","H","H","M","M","M","H","B","","F","M",""
"18035021","2018-11-06","2018","11","08:26:00","2018-11-06 08:26:00","245A1","Assault","5000.0","University","Av","826","MidCity","Hands, Fists, Feet","Race","1","Known","2","","Treated","B","","","F","","","H","H","","F","M",""
"18037683","2018-12-01","2018","12","23:00:00","2018-12-01 23:00:00","422.7(A)","Threat","3800.0","43rd","St","834","Mid-City","Verbal","Sexual Orientation","2","Known","1","","None","W","W","","F","M","","W","","","M","",""
"18038086","2018-12-05","2018","12","19:19:00","2018-12-05 19:19:00","594.3(B)","Vandalism","1300.0","4th","Av","524","Central","Spray Paint","Religion","1","Known","1","Church","None","W","","","M","","","","","","","",""
"18038864","2018-12-11","2018","12","20:30:00","2018-12-11 20:30:00","594(A)","Vandalism","4600.0","30th ","St","813","Mid-City","Spray Paint","Race","1","Unknown","2","","None","Unk","","","","","","B","B","","F","M",""
"18039670","2018-12-19","2018","12","11:44:00","2018-12-19 11:44:00","243A","Assault","400.0","Sea World","Dr","123","Northern","Other- Hose","Race","1","Unknown","1","","None","W","","","M","","","B","","","F","",""
"19000321","2019-01-04","2019","1","07:13:00","2019-01-04 07:13:00","422.6A","Threat","300.0","Horton Plaza","Pz","525","Central","Knife","Race","1","Unknown","1","","None","W","","","M","","","B","","","M","",""
"19001639","2019-01-13","2019","1","16:21:00","2019-01-13 16:21:00","422.6","Threat","4700.0","32nd ","St","814","Mid-City","None","Race","1","Known","1","","None","H","","","M","","","B","","","M","",""
"19600660","2019-01-26","2019","1","12:00:00","2019-01-26 12:00:00","594(B)(2)A","Vandalism","800.0","Archer","St","122","Northern","Marker","Religion","1","Unknown","1","City of San Diego","None","Unk","","","Unk","","","","","","","",""
"19004291","2019-02-07","2019","2","19:30:00","2019-02-07 19:30:00","594","Vandalism","5500.0","Bellevue","Av","124","Northern","Unknown","Religion","Unk","Unknown","2","","None","Unk","","","Unk","","","W","W","","M","F",""
"19005259","2019-02-15","2019","2","00:00:00","2019-02-15 00:00:00","422.7","Vandalism","13000.0","Jadestone","Wy","934","Northeastern","Pen","Religion","Unk","Unknown","1","","None","Unk","","","Unk","","","W","","","M","",""
"19006514","2019-02-26","2019","2","15:30:00","2019-02-26 15:30:00","245A1","Assault","2000.0","Logan","Av","511","Central","Stick","Sexual Orientation","2","Unknown","2","","Treated","H","H","","M","F","","W","W","","M","F",""
"19008983","2019-03-05","2019","3","12:30:00","2019-03-05 12:30:00","242","Assault","3700.0","Del Mar Heights","Rd","934","Northwestern","Hands, Fists, Feet","Race/Disability","1","Unknown","1","","Treated","W","","","M","","","B","","","M","",""
"19007782","2019-03-10","2019","3","00:55:00","2019-03-10 00:55:00","594","Vandalism","4900.0","Newport","Av","614","Western","Hands, Fists, Feet","Sexual Orientation","1","Known","1","","None","W","","","M","","","W","","","M","",""
"19012076","2019-04-12","2019","4","02:21:00","2019-04-12 02:21:00","594","Vandalism","5700.0","Olympic","Pl","822","Mid-City","Other","Race","2","Unknown","1","","None","Unk","Unk","","Unk","Unk","","H","","","M","",""
"19017802","2019-05-22","2019","5","14:00:00","2019-05-22 14:00:00","594(A)","Vandalism","4600.0","Vista","St","825","MidCity","Other ","Religion","1","Unknown","1","","None","Unk","","","Unk","","","W","","","M","",""
"19017876","2019-05-24","2019","5","08:30:00","2019-05-24 08:30:00","422.6","Threat","5100.0","Linda Vista ","Rd","622","Western","None","Sexuality","1","Known","1","","None","W","","","M","","","B","","","M","",""
"19018299","2019-05-26","2019","5","08:38:00","2019-05-26 08:38:00","594(B)(2)(A)","Vandalism","4300.0","Santa Monica","Av","613","Western","Other ","Religion","1","Unknown","3","","None","Unk","","","Unk","","","W","W","B","F","F","M"
"19019040","2019-05-31","2019","5","07:00:00","2019-05-31 07:00:00","242","Assault","900.0","4th","Av","525","Central","Hands, Fists, Feet","Sexuality","1","Known","1","","Treated","H","","","M","","","W","","","M","",""
"19019053","2019-05-31","2019","5","16:30:00","2019-05-31 16:30:00","594(B)(1)","Vandalism","7500.0","Winterwood","Ln","242","Northeastern","Spray Paint","Race","1","Unknown","1","City of San Diego","None","Unk","","","Unk","","","","","","-","",""
"19019302","2019-05-31","2019","5","17:00:00","2019-05-31 17:00:00","594(B)(1)","Vandalism","2200.0","Main","St","724","Southern","Spray Paint","Religion","1","Unknown","1","","None","Unk","","","Unk","","","W","","","M","",""
"19020509","2019-06-10","2019","6","08:30:00","2019-06-10 08:30:00","594(B)(1)","Vandalism","8650.0","Genesee","Av","115","Northern","Spray Paint","Religion","1","Unknown","1","Market","None","Unk","","","Unk","","","","","","","",""
"19027273","2019-07-02","2019","7","20:58:00","2019-07-02 20:58:00","242","Assault","525.0","14th","St","521","Central","Hands, Fists, Feet","Sexual Orientation","1","Unknown","1","","None","B","","","M","","","H","","","F","",""
"19024491","2019-07-05","2019","7","12:26:00","2019-07-05 12:26:00","245A1","Assault","4292.0","University","Av","832","Midcity","Knife","Race","1","Known","2","","None","B","","","M","","","H","H","","F","F",""
"19025504","2019-07-10","2019","7","23:32:00","2019-07-10 23:32:00","422:F","Threat","3620.0","30th","St","813","Midcity","Phone","Sexual Orientation","1","Unknown","1","Gay Pride Rally","None","Unk","","","Unk","","","","","","","",""
"19025496","2019-07-10","2019","7","20:14:00","2019-07-10 20:14:00","422:F","Threat","3620.0","30th","St","813","Midcity","Email","Sexual Orientation","1","Unknown","1","Gay Pride Rally","None","Unk","","","Unk","","","","","","","",""
"19025834","2019-07-13","2019","7","16:00:00","2019-07-13 16:00:00","422.6","Threat","7240.0","El Cajon","Bl","821","Midcity","Knife","Race","1","Known","1","","None","W","","","M","","","B","","","F","",""
"19025966","2019-07-14","2019","7","00:22:00","2019-07-14 00:22:00","594.3(A)","Vandalism","4190.0","Front","St","627","Western","Unknown","Sexual Orientation","1","Unknown","1","Church","None","W","","","M","","","","","","","",""
"19028502","2019-07-26","2019","7","00:30:00","2019-07-26 00:30:00","594(B)(2)(A)","Vandalism","6192.0","Agee","St","115","Northern","Spray Paint","Race","Unk","Unknown","4","","None","Unk","","","Unk","","","B","W","H","M","M","M"
"19028668","2019-07-29","2019","7","09:22:00","2019-07-29 09:22:00","422.6(B)","Vandalism","7140.0","Engineer","Rd","313","Eastern","Spray Paint","Religion","Unk","Unknown","1","Business","None","Unk","","","Unk","","","","","","","",""
